SCENE_ID,PRODUCT_ID,SPACECRAFT_ID,SENSOR_ID,DATE_ACQUIRED,COLLECTION_NUMBER,COLLECTION_CATEGORY,SENSING_TIME,DATA_TYPE,WRS_PATH,WRS_ROW,CLOUD_COVER,NORTH_LAT,SOUTH_LAT,WEST_LON,EAST_LON,TOTAL_SIZE,BASE_URL
LE70150542009284ASN00,LE07_L1TP_015054_20091011_20161217_01_T1,LANDSAT_7,ETM,2009-10-11,01,T1,2009-10-11T15:44:53.2273217Z,L1TP,15,54,44.0,9.62283,7.72973,-85.45122,-83.27499,199703889,gs://gcp-public-data-landsat/LE07/01/015/054/LE07_L1TP_015054_20091011_20161217_01_T1
LC80140542018134LGN00,LC08_L1TP_014054_20180514_20180604_01_T1,LANDSAT_8,OLI_TIRS,2018-05-14,01,T1,2018-05-14T15:47:39.3792720Z,L1TP,14,54,80.32,9.73126,7.61433,-83.867,-81.7824,1043517458,gs://gcp-public-data-landsat/LC08/01/014/054/LC08_L1TP_014054_20180514_20180604_01_T1
LE70160522014001EDC00,,LANDSAT_7,ETM,2014-01-01,PRE,N/A,2014-01-01T15:56:38.2681643Z,L1T,16,52,37.0,12.5179,10.62866,-86.39018,-84.1838,216898667,gs://gcp-public-data-landsat/LE07/PRE/016/052/LE70160522014001EDC00
LC80160522016159LGN01,LC08_L1TP_016052_20160607_20170223_01_T2,LANDSAT_8,OLI_TIRS,2016-06-07,01,T2,2016-06-07T15:59:52.9573430Z,L1TP,16,52,73.52,12.61536,10.50973,-86.31091,-84.21861,1130358013,gs://gcp-public-data-landsat/LC08/01/016/052/LC08_L1TP_016052_20160607_20170223_01_T2
LT50160532000035AAA02,LT05_L1TP_016053_20000204_20161215_01_T1,LANDSAT_5,TM,2000-02-04,01,T1,2000-02-04T15:34:48.9330810Z,L1TP,16,53,63.0,11.11311,9.21146,-86.73145,-84.607,125843237,gs://gcp-public-data-landsat/LT05/01/016/053/LT05_L1TP_016053_20000204_20161215_01_T1
LT50140541997092XXX02,LT05_L1TP_014054_19970402_20161231_01_T1,LANDSAT_5,TM,1997-04-02,01,T1,1997-04-02T15:15:29.8340310Z,L1TP,14,54,15.0,9.63099,7.71467,-83.85796,-81.72818,145913472,gs://gcp-public-data-landsat/LT05/01/014/054/LT05_L1TP_014054_19970402_20161231_01_T1
LE70150532020027EDC00,LE07_L1TP_015053_20200127_20200222_01_T1,LANDSAT_7,ETM,2020-01-27,01,T1,2020-01-27T15:33:58.9942617Z,L1TP,15,53,62.0,11.07235,9.18331,-85.16966,-82.9537,243654909,gs://gcp-public-data-landsat/LE07/01/015/053/LE07_L1TP_015053_20200127_20200222_01_T1
LE70160522019223EDC00,LE07_L1GT_016052_20190811_20190811_01_RT,LANDSAT_7,ETM,2019-08-11,01,RT,2019-08-11T15:47:33.6076763Z,L1GT,16,52,98.0,12.52065,10.62324,-86.40939,-84.18377,134157016,gs://gcp-public-data-landsat/LE07/01/016/052/LE07_L1GT_016052_20190811_20190811_01_RT
LE70150542014010EDC00,,LANDSAT_7,ETM,2014-01-10,PRE,N/A,2014-01-10T15:51:16.2651339Z,L1T,15,54,17.0,9.631,7.73778,-85.45663,-83.26672,177069384,gs://gcp-public-data-landsat/LE07/PRE/015/054/LE70150542014010EDC00
LE70140542017315EDC00,LE07_L1TP_014054_20171111_20171111_01_RT,LANDSAT_7,ETM,2017-11-11,01,RT,2017-11-11T15:51:14.4778957Z,L1TP,14,54,61.0,9.63087,7.72729,-83.99449,-81.78533,209133137,gs://gcp-public-data-landsat/LE07/01/014/054/LE07_L1TP_014054_20171111_20171111_01_RT
